fold,train_size,val_size,test_size,train_start,train_end,test_start,test_end,pos_rate_train,pos_rate_test,mean_pred
0,605,151,63,2011-01-03,2013-06-05,2014-01-22,2014-04-22,0.07603305785123966,0.0,0.07717890172203634
1,656,163,63,2011-01-03,2013-08-21,2014-04-23,2014-07-22,0.0701219512195122,0.0,0.0696216537322107
2,706,176,63,2011-01-03,2013-11-04,2014-07-23,2014-10-21,0.06515580736543909,0.06349206349206349,0.0668067311216919
3,756,189,63,2011-01-03,2014-01-21,2014-10-22,2015-01-23,0.06084656084656084,0.06349206349206349,0.06392647730578246
4,807,201,63,2011-01-03,2014-04-03,2015-01-26,2015-04-24,0.057001239157372985,0.0,0.05736750337959694
5,857,214,63,2011-01-03,2014-06-16,2015-04-27,2015-07-24,0.05367561260210035,0.0,0.0547607016955224
6,908,226,63,2011-01-03,2014-08-27,2015-07-27,2015-10-26,0.05066079295154185,0.15873015873015872,0.05898660191178842
7,958,239,63,2011-01-03,2014-11-07,2015-10-27,2016-02-01,0.05219206680584551,0.09523809523809523,0.07227739403167038
8,1008,252,63,2011-01-03,2015-01-23,2016-02-02,2016-05-02,0.05357142857142857,0.06349206349206349,0.054551223858300905
9,1059,264,63,2011-01-03,2015-04-08,2016-05-03,2016-08-01,0.05099150141643059,0.015873015873015872,0.052352604727512304
10,1109,277,63,2011-01-03,2015-06-18,2016-08-02,2016-11-01,0.04869251577998197,0.0,0.05032306356388659
11,1160,289,63,2011-01-03,2015-09-01,2016-11-02,2017-02-03,0.05086206896551724,0.0,0.05135973636529218
12,1210,302,63,2011-01-03,2015-11-13,2017-02-06,2017-05-05,0.05289256198347107,0.0,0.05379800180411533
13,1260,315,63,2011-01-03,2016-02-01,2017-05-08,2017-08-04,0.05555555555555555,0.0,0.05517012711306224
14,1311,327,63,2011-01-03,2016-04-14,2017-08-07,2017-11-07,0.05644546147978642,0.0,0.10875744058119748
15,1361,340,63,2011-01-03,2016-06-24,2017-11-08,2018-02-09,0.05437178545187362,0.1111111111111111,0.06019625072284183
16,1412,352,63,2011-01-03,2016-09-07,2018-02-12,2018-05-16,0.05311614730878187,0.015873015873015872,0.06745331684726412
17,1462,365,63,2011-01-03,2016-11-21,2018-05-17,2018-08-16,0.05129958960328317,0.0,0.0540568015622509
18,1512,378,63,2011-01-03,2017-02-03,2018-08-17,2018-11-19,0.0496031746031746,0.06349206349206349,0.06001904796087516
19,1563,390,63,2011-01-03,2017-04-19,2018-11-20,2019-02-26,0.04798464491362764,0.15873015873015872,0.057008691981275866
20,1613,403,63,2011-01-03,2017-06-29,2019-02-27,2019-05-30,0.04649721016738995,0.015873015873015872,0.04680789343904458
21,1664,415,63,2011-01-03,2017-09-13,2019-05-31,2019-08-29,0.045072115384615384,0.06349206349206349,0.04736974077964574
22,1714,428,63,2011-01-03,2017-11-27,2019-08-30,2019-12-02,0.043757292882147025,0.0,0.04617888709296086
23,1764,441,63,2011-01-03,2018-02-09,2019-12-03,2020-03-04,0.046485260770975055,0.12698412698412698,0.05309781443339335
24,1815,453,63,2011-01-03,2018-04-27,2020-03-05,2020-06-03,0.045730027548209366,0.36507936507936506,0.189130292980421
25,1865,466,63,2011-01-03,2018-07-12,2020-06-04,2020-09-02,0.04450402144772118,0.07936507936507936,0.0604097306404854
26,1916,478,63,2011-01-03,2018-09-24,2020-09-03,2020-12-04,0.043319415448851775,0.1746031746031746,0.0888745723263735
27,1966,491,63,2011-01-03,2018-12-10,2020-12-07,2021-03-11,0.04628687690742624,0.031746031746031744,0.07086900504239672
28,2016,504,63,2011-01-03,2019-02-26,2021-03-12,2021-06-16,0.04811507936507937,0.0,0.061878218868222944
29,2067,516,63,2011-01-03,2019-05-13,2021-06-17,2021-09-20,0.04741170778906628,0.0,0.05275176222590933
30,2117,529,63,2011-01-03,2019-07-25,2021-09-21,2021-12-23,0.04723665564478035,0.031746031746031744,0.05743502918187625
31,2168,541,63,2011-01-03,2019-10-07,2021-12-27,2022-03-31,0.0470479704797048,0.19047619047619047,0.06863046121175118
32,2218,554,63,2011-01-03,2019-12-19,2022-04-01,2022-07-06,0.045987376014427414,0.25396825396825395,0.0867758272025367
33,2268,567,63,2011-01-03,2020-03-04,2022-07-07,2022-10-06,0.048500881834215165,0.2698412698412698,0.09615367890131386
34,2319,579,63,2011-01-03,2020-05-15,2022-10-07,2023-01-10,0.056058645968089696,0.12698412698412698,0.07115073366134013
35,2369,592,63,2011-01-03,2020-07-29,2023-01-11,2023-04-18,0.05740818910932883,0.047619047619047616,0.07186507018372532
36,2420,604,63,2011-01-03,2020-10-09,2023-04-20,2023-07-27,0.05826446280991736,0.0,0.06274704338939342
37,2470,617,63,2011-01-03,2020-12-23,2023-07-28,2023-10-27,0.06032388663967611,0.031746031746031744,0.10198665052888445
38,2520,630,63,2011-01-03,2021-03-11,2023-10-30,2024-02-07,0.05992063492063492,0.031746031746031744,0.061670948155271105
39,2571,642,63,2011-01-03,2021-05-28,2024-02-08,2024-05-09,0.058732010890704005,0.0,0.06721144448903091
40,2621,655,63,2011-01-03,2021-08-12,2024-05-10,2024-08-20,0.057611598626478445,0.06349206349206349,0.07116107464900466
41,2672,667,63,2011-01-03,2021-10-28,2024-08-21,2024-11-22,0.05651197604790419,0.06349206349206349,0.12115699975543447
42,2722,680,63,2011-01-03,2022-01-12,2024-11-25,2025-02-27,0.05657604702424688,0.031746031746031744,0.13064024582302727
43,2772,693,63,2011-01-03,2022-03-31,2025-02-28,2025-05-29,0.05952380952380952,0.2698412698412698,0.11536788307372028
44,2823,705,63,2011-01-03,2022-06-16,2025-05-30,2025-08-28,0.06376195536663125,0.0,0.06657067778283915
45,2873,718,63,2011-01-03,2022-08-30,2025-08-29,2025-12-01,0.06578489383919248,0.015873015873015872,0.07616624638713498
46,2924,730,63,2011-01-03,2022-11-15,2025-12-02,2026-03-04,0.06942544459644323,0.0,0.0747255452304691
47,2974,743,63,2011-01-03,2023-01-30,2026-03-05,2026-06-03,0.06960322797579019,0.06349206349206349,0.09199509845441808
48,3024,756,25,2011-01-03,2023-04-18,2026-06-04,2026-07-10,0.06911375661375661,0.0,0.15202341558733468
