fold,train_size,val_size,test_size,train_start,train_end,test_start,test_end,pos_rate_train,pos_rate_test,mean_pred
0,605,151,63,2011-01-03,2013-05-30,2014-01-13,2014-04-11,0.31735537190082647,0.2698412698412698,0.3353816822629701
1,656,163,63,2011-01-03,2013-08-15,2014-04-14,2014-07-14,0.3170731707317073,0.031746031746031744,0.33291338382444896
2,706,176,63,2011-01-03,2013-10-28,2014-07-15,2014-10-10,0.3130311614730878,0.2222222222222222,0.3996091454690014
3,756,189,63,2011-01-03,2014-01-10,2014-10-13,2015-01-12,0.2962962962962963,0.36507936507936506,0.30995257442985863
4,807,201,63,2011-01-03,2014-03-26,2015-01-13,2015-04-14,0.2936802973977695,0.19047619047619047,0.3196687255967467
5,857,214,63,2011-01-03,2014-06-06,2015-04-15,2015-07-14,0.28354725787631274,0.07936507936507936,0.28636262210641433
6,908,226,63,2011-01-03,2014-08-19,2015-07-15,2015-10-13,0.2753303964757709,0.3333333333333333,0.28197967685018493
7,958,239,63,2011-01-03,2014-10-29,2015-10-14,2016-01-15,0.2797494780793319,0.2857142857142857,0.4071741973876427
8,1008,252,63,2011-01-03,2015-01-12,2016-01-19,2016-04-18,0.2777777777777778,0.2857142857142857,0.28659461231899935
9,1059,264,63,2011-01-03,2015-03-26,2016-04-19,2016-07-18,0.2757318224740321,0.2222222222222222,0.28582741014998064
10,1109,277,63,2011-01-03,2015-06-08,2016-07-19,2016-10-17,0.26330027051397653,0.031746031746031744,0.30841128937148443
11,1160,289,63,2011-01-03,2015-08-19,2016-10-18,2017-01-18,0.2620689655172414,0.12698412698412698,0.27582094147790215
12,1210,302,63,2011-01-03,2015-10-30,2017-01-19,2017-04-19,0.2652892561983471,0.06349206349206349,0.2723726793106028
13,1260,315,63,2011-01-03,2016-01-15,2017-04-20,2017-07-19,0.26666666666666666,0.031746031746031744,0.28208195362152416
14,1311,327,63,2011-01-03,2016-03-31,2017-07-20,2017-10-19,0.26926010678871093,0.0,0.28073382766677857
15,1361,340,63,2011-01-03,2016-06-10,2017-10-20,2018-01-22,0.26451138868479057,0.09523809523809523,0.2642880214828501
16,1412,352,63,2011-01-03,2016-08-23,2018-01-23,2018-04-26,0.26062322946175637,0.38095238095238093,0.26648937134877493
17,1462,365,63,2011-01-03,2016-11-03,2018-04-27,2018-07-30,0.2551299589603283,0.1746031746031746,0.26521970026929015
18,1512,378,63,2011-01-03,2017-01-18,2018-07-31,2018-10-29,0.25,0.20634920634920634,0.27761297443261634
19,1563,390,63,2011-01-03,2017-03-31,2018-10-30,2019-02-05,0.24312220089571338,0.5396825396825397,0.4100467560154048
20,1613,403,63,2011-01-03,2017-06-13,2019-02-06,2019-05-09,0.23806571605703658,0.19047619047619047,0.23781819395577058
21,1664,415,63,2011-01-03,2017-08-25,2019-05-10,2019-08-09,0.23076923076923078,0.2698412698412698,0.2706376435961328
22,1714,428,63,2011-01-03,2017-11-07,2019-08-12,2019-11-07,0.22403733955659277,0.19047619047619047,0.29450181915536183
23,1764,441,63,2011-01-03,2018-01-22,2019-11-08,2020-02-10,0.22108843537414966,0.06349206349206349,0.2341625697689411
24,1815,453,63,2011-01-03,2018-04-10,2020-02-11,2020-05-11,0.22644628099173553,0.6666666666666666,0.3300723147811707
25,1865,466,63,2011-01-03,2018-06-22,2020-05-12,2020-08-11,0.2257372654155496,0.49206349206349204,0.27620688165890256
26,1916,478,63,2011-01-03,2018-09-05,2020-08-12,2020-11-09,0.22181628392484343,0.5555555555555556,0.3131994061155585
27,1966,491,63,2011-01-03,2018-11-16,2020-11-10,2021-02-11,0.2273652085452696,0.1746031746031746,0.24375349134675112
28,2016,504,63,2011-01-03,2019-02-05,2021-02-12,2021-05-18,0.23412698412698413,0.2857142857142857,0.34472352736538664
29,2067,516,63,2011-01-03,2019-04-23,2021-05-19,2021-08-23,0.23270440251572327,0.06349206349206349,0.25647876696499616
30,2117,529,63,2011-01-03,2019-07-03,2021-08-24,2021-11-23,0.23429381199811053,0.23809523809523808,0.37687532168894666
31,2168,541,63,2011-01-03,2019-09-17,2021-11-24,2022-03-02,0.23431734317343172,0.4603174603174603,0.4690306138084875
32,2218,554,63,2011-01-03,2019-11-26,2022-03-03,2022-06-06,0.23128944995491435,0.6507936507936508,0.3805683369596894
33,2268,567,63,2011-01-03,2020-02-10,2022-06-07,2022-09-07,0.2279541446208113,0.5238095238095238,0.4912392413365734
34,2319,579,63,2011-01-03,2020-04-23,2022-09-08,2022-12-07,0.23932729624838292,0.5396825396825397,0.434109118178151
35,2369,592,63,2011-01-03,2020-07-07,2022-12-08,2023-03-15,0.2460953989024905,0.3968253968253968,0.4711645878764491
36,2420,604,63,2011-01-03,2020-09-17,2023-03-16,2023-06-21,0.25,0.1746031746031746,0.3353920927027795
37,2470,617,63,2011-01-03,2020-11-27,2023-06-22,2023-09-25,0.2534412955465587,0.2698412698412698,0.26870448198879254
38,2520,630,63,2011-01-03,2021-02-11,2023-09-26,2024-01-03,0.2523809523809524,0.36507936507936506,0.2844639559085219
39,2571,642,63,2011-01-03,2021-04-28,2024-01-04,2024-04-05,0.25398677557370675,0.09523809523809523,0.2312473463390057
40,2621,655,63,2011-01-03,2021-07-15,2024-04-08,2024-07-12,0.2502861503243037,0.23809523809523808,0.2475416601936702
41,2672,667,63,2011-01-03,2021-09-30,2024-07-15,2024-10-18,0.24850299401197604,0.30158730158730157,0.3356770187712725
42,2722,680,63,2011-01-03,2021-12-13,2024-10-21,2025-01-22,0.2490815576781778,0.23809523809523808,0.3328040913853578
43,2772,693,63,2011-01-03,2022-03-02,2025-01-23,2025-04-23,0.2532467532467532,0.5396825396825397,0.4454782872711936
44,2823,705,63,2011-01-03,2022-05-18,2025-04-24,2025-07-24,0.2603613177470776,0.25396825396825395,0.26839589469342334
45,2873,718,63,2011-01-03,2022-08-01,2025-07-25,2025-10-22,0.26522798468499825,0.14285714285714285,0.2693257612974114
46,2924,730,63,2011-01-03,2022-10-14,2025-10-23,2026-01-23,0.271203830369357,0.20634920634920634,0.2847512207851436
47,2974,743,34,2011-01-03,2022-12-27,2026-01-26,2026-03-13,0.2737054472091459,0.058823529411764705,0.34496227908546817
